run_id,tag,variant,page,model,rep,status,prompt_shadowed,calls,input_tokens,output_tokens,cost_usd,wall_seconds,output_chars,v1_leaks,v1_redactions,v1_drupal,v1_retention,g0_delivered,g1_format,g2_scope,html_density,fenced,recall,precision,subject,fidelity,fabrication,structure,gold_sents,gold_found,out_sents,out_in_gold,out_chrome,out_fabricated,gold_targets,glyphs,glyph_correct,glyph_protected,glyph_other,glyph_chrome,glyph_ambiguous,leaks,leaks_chrome,drupal_kept,heads_gold,heads_found,v2_class
bench_3_markdown_llm__small__r1__1788116887,matrix-claude-haiku-4-5-20251001,bench_3_markdown_llm,small,claude-haiku-4-5-20251001,1,completed,0,1,4915,3930,0.024565,45.16,8009,0,0,89,85.8,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,61,38,23,0,0,0,0,0,0,0,0,0,0,41,8,8,correct
bench_4_ai_agent_tool__small__r1__1788116932,matrix-claude-haiku-4-5-20251001,bench_4_ai_agent_tool,small,claude-haiku-4-5-20251001,1,completed,0,2,39135,12298,0.100625,122.0,8353,0,0,96,92.6,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,60,38,22,0,0,0,0,0,0,0,0,0,0,43,8,8,correct
bench_5_react_agent__small__r1__1788117054,matrix-claude-haiku-4-5-20251001,bench_5_react_agent,small,claude-haiku-4-5-20251001,1,completed,0,3,41793,9930,0.091443,106.59,6574,0,0,70,75.7,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,53,38,15,0,0,0,0,0,0,0,0,0,0,39,8,8,correct
bench_5a_react_agent_naive__small__r1__1788117160,matrix-claude-haiku-4-5-20251001,bench_5a_react_agent_naive,small,claude-haiku-4-5-20251001,1,completed,0,3,34092,1586,0.042022,18.26,2980,0,3,21,45.2,1,1,1,0.0,0,1.0,1.0,1.0,0.921,0.0,0.875,38,35,36,35,1,0,0,3,0,0,0,3,0,0,0,21,8,7,correct
bench_6_agent_autonomous__small__r1__1788117179,matrix-claude-haiku-4-5-20251001,bench_6_agent_autonomous,small,claude-haiku-4-5-20251001,1,completed,0,3,41984,15218,0.118074,165.8,5578,0,0,55,69.4,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,48,38,10,0,0,0,0,0,0,0,0,0,0,35,8,8,correct
bench_2_raw_html_llm__medium__r1__1788117344,matrix-claude-haiku-4-5-20251001,bench_2_raw_html_llm,medium,claude-haiku-4-5-20251001,1,completed,0,1,59261,1942,0.068971,30.86,8224,0,28,36,67.3,1,1,1,0.0,0,1.0,1.0,1.0,0.985,0.0,1.0,68,67,67,67,0,0,28,28,28,0,0,0,0,0,0,36,10,10,correct
bench_3_markdown_llm__medium__r1__1788117375,matrix-claude-haiku-4-5-20251001,bench_3_markdown_llm,medium,claude-haiku-4-5-20251001,1,completed,0,1,3501,2090,0.013951,28.76,8438,0,29,37,69.0,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,29,29,0,0,0,0,0,0,37,10,10,correct
bench_4_ai_agent_tool__medium__r1__1788117404,matrix-claude-haiku-4-5-20251001,bench_4_ai_agent_tool,medium,claude-haiku-4-5-20251001,1,completed,0,2,124149,4535,0.146824,59.24,9062,0,29,37,74.1,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,73,68,5,0,28,29,29,0,0,0,0,0,0,37,10,10,correct
bench_5_react_agent__medium__r1__1788117463,matrix-claude-haiku-4-5-20251001,bench_5_react_agent,medium,claude-haiku-4-5-20251001,1,completed,0,3,139877,4221,0.160982,61.1,8552,29,0,37,68.1,1,1,1,0.0,0,0.0,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,0,0,0,0,0,0,29,0,37,10,10,silent
bench_5a_react_agent_naive__medium__r1__1788117524,matrix-claude-haiku-4-5-20251001,bench_5a_react_agent_naive,medium,claude-haiku-4-5-20251001,1,completed,0,3,138941,3878,0.158331,55.66,8213,2,26,36,67.1,1,1,1,0.0,0,0.929,1.0,1.0,0.985,0.0,1.0,68,67,67,67,0,0,28,26,26,0,0,0,0,2,0,36,10,10,degraded
bench_6_agent_autonomous__medium__r1__1788117580,matrix-claude-haiku-4-5-20251001,bench_6_agent_autonomous,medium,claude-haiku-4-5-20251001,1,completed,0,3,125622,4772,0.149482,63.96,8446,3,27,38,69.0,1,1,1,0.0,0,0.9,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,27,27,0,0,0,0,3,0,38,10,10,degraded
bench_2_raw_html_llm__large__r1__1788117644,matrix-claude-haiku-4-5-20251001,bench_2_raw_html_llm,large,,1,failed,0,0,0,0,0,1.97,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,loud
bench_3_markdown_llm__large__r1__1788117646,matrix-claude-haiku-4-5-20251001,bench_3_markdown_llm,large,claude-haiku-4-5-20251001,1,completed,0,1,34821,1036,0.040001,11.24,2440,0,0,17,4.3,1,1,0,0.0,0,1.0,1.0,1.0,0.076,0.0,0.0,172,13,15,13,2,0,0,0,0,0,0,0,0,0,0,17,19,0,silent
bench_4_ai_agent_tool__large__r1__1788117657,matrix-claude-haiku-4-5-20251001,bench_4_ai_agent_tool,large,,1,completed,0,0,0,0,0,1.96,20,0,0,0,0.0,0,0,0,0.0,0,1.0,1.0,1.0,0.0,1.0,0.0,172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,loud
bench_5_react_agent__large__r1__1788117659,matrix-claude-haiku-4-5-20251001,bench_5_react_agent,large,claude-haiku-4-5-20251001,1,failed,0,1,818,87,0.001253,5.77,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,loud
bench_5a_react_agent_naive__large__r1__1788117665,matrix-claude-haiku-4-5-20251001,bench_5a_react_agent_naive,large,claude-haiku-4-5-20251001,1,failed,0,1,746,82,0.001156,5.44,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,loud
bench_6_agent_autonomous__large__r1__1788117670,matrix-claude-haiku-4-5-20251001,bench_6_agent_autonomous,large,claude-haiku-4-5-20251001,1,completed,0,1,883,92,0.001343,3.14,20,0,0,0,0.0,0,0,0,0.0,0,1.0,1.0,1.0,0.0,1.0,0.0,172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,loud
bench_2_raw_html_llm__small__r1__1788117676,matrix-claude-sonnet-5,bench_2_raw_html_llm,small,claude-sonnet-5,1,completed,0,1,16622,16762,0.200864,138.73,27896,0,0,156,407.9,1,0,0,29.83,0,1.0,1.0,1.0,0.658,0.682,0.0,38,25,88,23,5,60,0,0,0,0,0,0,0,0,0,173,8,0,format
bench_3_markdown_llm__small__r1__1788117814,matrix-claude-sonnet-5,bench_3_markdown_llm,small,claude-sonnet-5,1,completed,0,1,6391,6299,0.075772,46.77,8583,0,0,101,94.0,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,63,38,25,0,0,0,0,0,0,0,0,0,0,44,8,8,correct
bench_4_ai_agent_tool__small__r1__1788117861,matrix-claude-sonnet-5,bench_4_ai_agent_tool,small,claude-sonnet-5,1,completed,0,2,40549,6892,0.150018,50.15,4897,0,0,46,59.9,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,46,38,8,0,0,0,0,0,0,0,0,0,0,32,8,8,correct
bench_5_react_agent__small__r1__1788117911,matrix-claude-sonnet-5,bench_5_react_agent,small,claude-sonnet-5,1,completed,0,2,22580,1479,0.05995,15.37,3600,0,0,26,50.6,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,26,8,8,correct
bench_5a_react_agent_naive__small__r1__1788117927,matrix-claude-sonnet-5,bench_5a_react_agent_naive,small,claude-sonnet-5,1,completed,0,3,47391,3585,0.130632,35.03,3787,0,0,31,51.4,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,39,38,1,0,0,0,0,0,0,0,0,0,0,27,8,8,correct
bench_6_agent_autonomous__small__r1__1788117962,matrix-claude-sonnet-5,bench_6_agent_autonomous,small,claude-sonnet-5,1,completed,0,2,18331,5742,0.094082,47.61,7606,0,0,87,93.6,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.016,1.0,38,38,63,38,24,1,0,0,0,0,0,0,0,0,0,44,8,8,correct
bench_2_raw_html_llm__medium__r1__1788118009,matrix-claude-sonnet-5,bench_2_raw_html_llm,medium,claude-sonnet-5,1,completed,0,1,73380,78883,0.93559,576.8,82302,3,40,51,567.2,1,0,0,6.29,0,0.75,0.45,1.0,0.956,0.84,0.0,68,65,325,17,35,273,28,40,9,0,11,17,0,3,0,48,10,0,format
bench_3_markdown_llm__medium__r1__1788118586,matrix-claude-sonnet-5,bench_3_markdown_llm,medium,claude-sonnet-5,1,completed,0,1,4924,4945,0.059298,41.15,12052,0,33,41,98.0,1,1,1,1.49,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,92,68,24,0,28,33,31,0,0,0,0,0,0,39,10,10,correct
bench_4_ai_agent_tool__medium__r1__1788118627,matrix-claude-sonnet-5,bench_4_ai_agent_tool,medium,claude-sonnet-5,1,completed,0,2,153802,6586,0.373464,54.96,8985,0,70,0,76.0,1,1,1,0.0,0,1.0,0.414,0.26,1.0,0.014,0.8,68,68,73,68,4,1,28,70,29,37,4,0,0,0,0,0,10,8,silent
bench_5_react_agent__medium__r1__1788118682,matrix-claude-sonnet-5,bench_5_react_agent,medium,claude-sonnet-5,1,completed,0,2,91658,6372,0.247036,59.21,11590,1,29,38,94.2,1,1,1,0.0,0,0.967,1.0,1.0,1.0,0.011,1.0,68,68,91,68,22,1,28,29,29,0,0,0,0,1,0,38,10,10,correct
bench_5a_react_agent_naive__medium__r1__1788118742,matrix-claude-sonnet-5,bench_5a_react_agent_naive,medium,claude-sonnet-5,1,completed,0,2,91470,3572,0.21866,34.53,9878,0,29,37,80.7,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,78,68,10,0,28,29,29,0,0,0,0,0,0,37,10,10,correct
bench_6_agent_autonomous__medium__r1__1788118776,matrix-claude-sonnet-5,bench_6_agent_autonomous,medium,claude-sonnet-5,1,completed,0,2,75251,9491,0.245412,74.26,11992,0,30,38,97.6,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.022,1.0,68,68,93,68,23,2,28,30,30,0,0,0,0,0,0,38,10,10,correct
bench_2_raw_html_llm__large__r1__1788118850,matrix-claude-sonnet-5,bench_2_raw_html_llm,large,claude-sonnet-5,1,completed,0,1,266158,12604,0.658356,114.54,23337,0,4,169,46.7,1,1,1,0.0,0,1.0,1.0,1.0,0.971,0.042,1.0,172,167,216,170,37,9,0,4,0,0,0,3,1,0,0,173,19,19,correct
bench_3_markdown_llm__large__r1__1788118965,matrix-claude-sonnet-5,bench_3_markdown_llm,large,claude-sonnet-5,1,completed,0,1,46970,47311,0.56705,339.77,64025,0,4,411,96.6,1,1,1,0.41,0,1.0,1.0,1.0,1.0,0.0,1.0,172,172,564,173,391,0,0,4,0,0,0,3,1,0,0,335,19,19,correct
bench_4_ai_agent_tool__large__r1__1788119305,matrix-claude-sonnet-5,bench_4_ai_agent_tool,large,claude-sonnet-5,1,completed,0,2,552606,22301,1.328222,182.88,21911,0,1,159,43.8,1,1,1,0.0,0,1.0,1.0,1.0,0.965,0.0,1.0,172,166,201,169,32,0,0,1,0,0,0,0,1,0,0,166,19,19,correct
bench_5_react_agent__large__r1__1788119487,matrix-claude-sonnet-5,bench_5_react_agent,large,claude-sonnet-5,1,completed,0,3,691024,16312,1.545168,157.42,21981,1,0,161,43.9,1,1,1,0.0,0,1.0,1.0,1.0,0.971,0.01,1.0,172,167,205,169,34,2,0,0,0,0,0,0,0,0,0,166,19,19,correct
bench_5a_react_agent_naive__large__r1__1788119645,matrix-claude-sonnet-5,bench_5a_react_agent_naive,large,claude-sonnet-5,1,completed,0,3,675883,10386,1.455626,110.54,21465,0,4,163,42.9,1,1,1,0.0,0,1.0,0.0,1.0,0.971,0.005,1.0,172,167,191,169,21,1,0,4,0,0,3,0,1,0,0,170,19,19,silent
bench_6_agent_autonomous__large__r1__1788119755,matrix-claude-sonnet-5,bench_6_agent_autonomous,large,claude-sonnet-5,1,completed,0,2,267893,41534,0.951126,331.66,40761,0,4,336,81.5,1,1,1,0.0,0,1.0,1.0,1.0,0.977,0.012,1.0,172,168,504,171,327,6,0,4,0,0,0,3,1,0,0,335,19,19,correct
bench_2_raw_html_llm__small__r1__1788120089,matrix-claude-opus-5,bench_2_raw_html_llm,small,claude-opus-5,1,completed,0,1,16622,16941,0.506635,170.26,27884,0,0,156,407.7,1,0,0,29.84,0,1.0,1.0,1.0,0.658,0.682,0.0,38,25,88,23,5,60,0,0,0,0,0,0,0,0,0,173,8,0,format
bench_3_markdown_llm__small__r1__1788120260,matrix-claude-opus-5,bench_3_markdown_llm,small,claude-opus-5,1,completed,0,1,6391,6591,0.19673,63.41,8980,0,0,101,97.4,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,38,38,64,38,26,0,0,0,0,0,0,0,0,0,0,45,8,8,correct
bench_4_ai_agent_tool__small__r1__1788120323,matrix-claude-opus-5,bench_4_ai_agent_tool,small,claude-opus-5,1,completed,0,2,41389,9439,0.44292,84.21,7779,0,0,85,94.0,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.016,1.0,38,38,64,38,25,1,0,0,0,0,0,0,0,0,0,44,8,8,correct
bench_5_react_agent__small__r1__1788120407,matrix-claude-opus-5,bench_5_react_agent,small,claude-opus-5,1,completed,0,2,22455,4939,0.23575,49.47,7783,0,0,84,95.2,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.031,1.0,38,38,65,38,25,2,0,0,0,0,0,0,0,0,0,44,8,8,correct
bench_5a_react_agent_naive__small__r1__1788120457,matrix-claude-opus-5,bench_5a_react_agent_naive,small,claude-opus-5,1,completed,0,2,22256,1832,0.15708,22.63,3606,0,0,26,50.7,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.05,0.875,38,38,40,38,0,2,0,0,0,0,0,0,0,0,0,26,8,7,correct
bench_6_agent_autonomous__small__r1__1788120479,matrix-claude-opus-5,bench_6_agent_autonomous,small,claude-opus-5,1,completed,0,2,18207,4895,0.21341,43.95,7564,0,0,83,94.8,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.031,1.0,38,38,65,38,25,2,0,0,0,0,0,0,0,0,0,44,8,8,correct
bench_2_raw_html_llm__medium__r1__1788120523,matrix-claude-opus-5,bench_2_raw_html_llm,medium,claude-opus-5,1,completed,0,1,73380,2695,0.434275,30.67,8424,2,27,37,68.9,1,1,1,0.0,0,0.931,1.0,1.0,1.0,0.0,1.0,68,68,68,68,0,0,28,27,27,0,0,0,0,2,0,37,10,10,degraded
bench_3_markdown_llm__medium__r1__1788120554,matrix-claude-opus-5,bench_3_markdown_llm,medium,claude-opus-5,1,completed,0,1,4924,4734,0.14297,47.22,11543,0,31,39,94.1,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,97,68,29,0,28,31,31,0,0,0,0,0,0,39,10,10,correct
bench_4_ai_agent_tool__medium__r1__1788120601,matrix-claude-opus-5,bench_4_ai_agent_tool,medium,claude-opus-5,1,completed,0,2,155234,8314,0.98402,84.57,11437,0,30,38,93.1,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.011,1.0,68,68,91,68,22,1,28,30,30,0,0,0,0,0,0,38,10,10,correct
bench_5_react_agent__medium__r1__1788120686,matrix-claude-opus-5,bench_5_react_agent,medium,claude-opus-5,1,completed,0,2,91494,5816,0.60287,64.41,11939,0,30,38,97.0,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.011,1.0,68,68,92,68,23,1,28,30,30,0,0,0,0,0,0,38,10,10,correct
bench_5a_react_agent_naive__medium__r1__1788120750,matrix-claude-opus-5,bench_5a_react_agent_naive,medium,claude-opus-5,1,completed,0,2,91390,3572,0.54625,41.33,9770,0,30,38,79.9,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,77,68,9,0,28,30,30,0,0,0,0,0,0,38,10,10,correct
bench_6_agent_autonomous__medium__r1__1788120791,matrix-claude-opus-5,bench_6_agent_autonomous,medium,claude-opus-5,1,completed,0,2,75099,4557,0.48942,46.91,11537,0,30,38,93.8,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,91,68,23,0,28,30,30,0,0,0,0,0,0,38,10,10,correct
bench_2_raw_html_llm__large__r1__1788120838,matrix-claude-opus-5,bench_2_raw_html_llm,large,claude-opus-5,1,completed,0,1,266158,8254,1.53714,85.19,23646,1,0,165,47.2,1,1,1,0.0,0,1.0,1.0,1.0,0.971,0.034,1.0,172,167,207,169,31,7,0,0,0,0,0,0,0,0,0,172,19,19,correct
bench_3_markdown_llm__large__r1__1788120924,matrix-claude-opus-5,bench_3_markdown_llm,large,claude-opus-5,1,completed,0,1,46970,47628,1.42555,421.7,64025,0,4,411,96.6,1,1,1,0.41,0,1.0,1.0,1.0,1.0,0.0,1.0,172,172,564,173,391,0,0,4,0,0,0,3,1,0,0,335,19,19,correct
bench_4_ai_agent_tool__large__r1__1788121345,matrix-claude-opus-5,bench_4_ai_agent_tool,large,claude-opus-5,1,completed,0,1,266590,10236,1.58885,97.18,21472,1,0,148,42.9,1,1,1,0.0,0,1.0,1.0,1.0,0.977,0.006,1.0,172,168,172,168,3,1,0,0,0,0,0,0,0,0,0,155,19,19,correct
bench_5_react_agent__large__r1__1788121442,matrix-claude-opus-5,bench_5_react_agent,large,claude-opus-5,1,completed,0,2,337512,29579,2.427035,272.88,42051,0,4,339,84.1,1,1,1,0.0,0,1.0,1.0,1.0,0.983,0.03,1.0,172,169,505,170,320,15,0,4,0,0,0,3,1,0,0,339,19,19,correct
bench_5a_react_agent_naive__large__r1__1788121715,matrix-claude-opus-5,bench_5a_react_agent_naive,large,claude-opus-5,1,completed,0,2,337323,7677,1.87854,88.12,22191,1,3,161,44.4,1,1,1,0.0,0,1.0,0.0,1.0,0.971,0.01,1.0,172,167,202,169,31,2,0,3,0,0,3,0,0,0,0,168,19,19,silent
bench_6_agent_autonomous__large__r1__1788121803,matrix-claude-opus-5,bench_6_agent_autonomous,large,claude-opus-5,1,completed,0,2,267768,29700,2.08134,263.42,42365,0,4,338,85.2,1,1,1,0.0,0,1.0,1.0,1.0,0.983,0.021,1.0,172,169,514,170,333,11,0,4,0,0,0,3,1,0,0,340,19,19,correct
bench_3_markdown_llm__medium__r1__1788122309,determinism-probe,bench_3_markdown_llm,medium,claude-sonnet-5,1,completed,0,1,4924,4440,0.054248,37.26,11781,3,30,43,93.3,1,1,1,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,68,68,92,68,24,0,28,30,30,0,0,0,0,0,0,38,10,10,correct
