run_id,tag,variant,page,model,rep,status,calls,input_tokens,output_tokens,cached_tokens,cost_usd,wall_seconds,output_chars,denoised_bytes,retention_pct,redactions,leaks,drupal_mentions,html_tag_density,prompt_shadowed
bench_1_reference__small__r2__1788101318,overhead-probe,bench_1_reference,small,,2,completed,0,0,0,0,0,0.12,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r2__1788101318,overhead-probe,bench_0_floor,medium,,2,completed,0,0,0,0,0,0.03,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r2__1788101318,overhead-probe,bench_1_reference,medium,,2,completed,0,0,0,0,0,0.22,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r2__1788101318,overhead-probe,bench_0_floor,large,,2,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r2__1788101318,overhead-probe,bench_1_reference,large,,2,completed,0,0,0,0,0,0.38,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r3__1788101319,overhead-probe,bench_0_floor,small,,3,completed,0,0,0,0,0,0.02,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r3__1788101319,overhead-probe,bench_1_reference,small,,3,completed,0,0,0,0,0,0.19,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r3__1788101319,overhead-probe,bench_0_floor,medium,,3,completed,0,0,0,0,0,0.02,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r3__1788101319,overhead-probe,bench_1_reference,medium,,3,completed,0,0,0,0,0,0.19,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r3__1788101319,overhead-probe,bench_0_floor,large,,3,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r3__1788101319,overhead-probe,bench_1_reference,large,,3,completed,0,0,0,0,0,0.79,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r4__1788101320,overhead-probe,bench_0_floor,small,,4,completed,0,0,0,0,0,0.05,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r4__1788101320,overhead-probe,bench_1_reference,small,,4,completed,0,0,0,0,0,0.15,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r4__1788101320,overhead-probe,bench_0_floor,medium,,4,completed,0,0,0,0,0,0.02,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r4__1788101320,overhead-probe,bench_1_reference,medium,,4,completed,0,0,0,0,0,0.21,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r4__1788101320,overhead-probe,bench_0_floor,large,,4,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r4__1788101320,overhead-probe,bench_1_reference,large,,4,completed,0,0,0,0,0,0.86,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r5__1788101321,overhead-probe,bench_0_floor,small,,5,completed,0,0,0,0,0,0.02,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r5__1788101321,overhead-probe,bench_1_reference,small,,5,completed,0,0,0,0,0,0.12,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r5__1788101321,overhead-probe,bench_0_floor,medium,,5,completed,0,0,0,0,0,0.02,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r5__1788101321,overhead-probe,bench_1_reference,medium,,5,completed,0,0,0,0,0,0.37,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r5__1788101322,overhead-probe,bench_0_floor,large,,5,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r5__1788101322,overhead-probe,bench_1_reference,large,,5,completed,0,0,0,0,0,0.55,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r6__1788101322,overhead-probe,bench_0_floor,small,,6,completed,0,0,0,0,0,0.02,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r6__1788101322,overhead-probe,bench_1_reference,small,,6,completed,0,0,0,0,0,0.19,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r6__1788101322,overhead-probe,bench_0_floor,medium,,6,completed,0,0,0,0,0,0.02,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r6__1788101323,overhead-probe,bench_1_reference,medium,,6,completed,0,0,0,0,0,0.25,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r6__1788101323,overhead-probe,bench_0_floor,large,,6,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r6__1788101323,overhead-probe,bench_1_reference,large,,6,completed,0,0,0,0,0,0.55,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r7__1788101323,overhead-probe,bench_0_floor,small,,7,completed,0,0,0,0,0,0.03,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r7__1788101323,overhead-probe,bench_1_reference,small,,7,completed,0,0,0,0,0,0.22,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r7__1788101324,overhead-probe,bench_0_floor,medium,,7,completed,0,0,0,0,0,0.03,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r7__1788101324,overhead-probe,bench_1_reference,medium,,7,completed,0,0,0,0,0,0.18,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r7__1788101324,overhead-probe,bench_0_floor,large,,7,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r7__1788101324,overhead-probe,bench_1_reference,large,,7,completed,0,0,0,0,0,0.54,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r8__1788101324,overhead-probe,bench_0_floor,small,,8,completed,0,0,0,0,0,0.01,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r8__1788101324,overhead-probe,bench_1_reference,small,,8,completed,0,0,0,0,0,0.14,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r8__1788101324,overhead-probe,bench_0_floor,medium,,8,completed,0,0,0,0,0,0.03,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r8__1788101325,overhead-probe,bench_1_reference,medium,,8,completed,0,0,0,0,0,0.34,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r8__1788101325,overhead-probe,bench_0_floor,large,,8,completed,0,0,0,0,0,0.03,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r8__1788101325,overhead-probe,bench_1_reference,large,,8,completed,0,0,0,0,0,0.77,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r9__1788101326,overhead-probe,bench_0_floor,small,,9,completed,0,0,0,0,0,0.03,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r9__1788101326,overhead-probe,bench_1_reference,small,,9,completed,0,0,0,0,0,0.12,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r9__1788101326,overhead-probe,bench_0_floor,medium,,9,completed,0,0,0,0,0,0.02,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r9__1788101326,overhead-probe,bench_1_reference,medium,,9,completed,0,0,0,0,0,0.21,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r9__1788101326,overhead-probe,bench_0_floor,large,,9,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r9__1788101326,overhead-probe,bench_1_reference,large,,9,completed,0,0,0,0,0,0.71,101042,50082,100.0,0,5,664,0.3,0
bench_0_floor__small__r10__1788101327,overhead-probe,bench_0_floor,small,,10,completed,0,0,0,0,0,0.05,28,28,0.4,0,0,1,0.0,0
bench_1_reference__small__r10__1788101327,overhead-probe,bench_1_reference,small,,10,completed,0,0,0,0,0,0.17,16229,6648,100.0,0,0,247,0.0,0
bench_0_floor__medium__r10__1788101327,overhead-probe,bench_0_floor,medium,,10,completed,0,0,0,0,0,0.03,49,49,0.4,0,1,1,0.0,0
bench_1_reference__medium__r10__1788101327,overhead-probe,bench_1_reference,medium,,10,completed,0,0,0,0,0,0.27,14488,12550,100.0,0,36,46,1.2,0
bench_0_floor__large__r10__1788101327,overhead-probe,bench_0_floor,large,,10,completed,0,0,0,0,0,0.02,36,36,0.1,0,0,1,0.0,0
bench_1_reference__large__r10__1788101327,overhead-probe,bench_1_reference,large,,10,completed,0,0,0,0,0,0.69,101042,50082,100.0,0,5,664,0.3,0
bench_6_agent_autonomous__small__r1__1788110255,bench6-smoke,bench_6_agent_autonomous,small,claude-sonnet-4-6,1,completed,3,34564,5370,0,0.184242,95.22,5620,4683,70.4,0,0,56,0.0,0
bench_6_agent_autonomous__medium__r1__1788110386,bench6-fill,bench_6_agent_autonomous,medium,claude-sonnet-4-6,1,completed,3,125833,5512,0,0.460179,127.55,10644,10868,86.6,28,1,37,0.0,0
bench_6_agent_autonomous__large__r1__1788110513,bench6-fill,bench_6_agent_autonomous,large,claude-sonnet-4-6,1,completed,3,452913,27431,0,1.770204,555.02,37306,37336,74.5,2,2,329,0.0,0
bench_5_react_agent__large__r1__1788112643,post-patch-10mb,bench_5_react_agent,large,claude-sonnet-4-6,1,completed,3,503345,25694,0,1.895445,553.24,37478,37511,74.9,2,2,327,0.0,0
bench_3_markdown_llm__small__r1__1788116518,smoke-haiku,bench_3_markdown_llm,small,claude-haiku-4-5-20251001,1,completed,1,4915,3930,0,0.024565,46.86,8009,5705,85.8,0,0,89,0.0,0
bench_6_agent_autonomous__small__r1__1788116565,smoke-haiku,bench_6_agent_autonomous,small,claude-haiku-4-5-20251001,1,completed,3,41984,15218,0,0.118074,166.07,5588,4625,69.6,0,0,55,0.0,0
bench_2_raw_html_llm__small__r1__1788116759,matrix-claude-haiku-4-5-20251001,bench_2_raw_html_llm,small,claude-haiku-4-5-20251001,1,completed,1,13675,13652,0,0.081935,127.84,27872,27132,408.1,6,0,150,29.9,0
bench_3_markdown_llm__small__r1__1788116887,matrix-claude-haiku-4-5-20251001,bench_3_markdown_llm,small,claude-haiku-4-5-20251001,1,completed,1,4915,3930,0,0.024565,45.16,8009,5705,85.8,0,0,89,0.0,0
bench_4_ai_agent_tool__small__r1__1788116932,matrix-claude-haiku-4-5-20251001,bench_4_ai_agent_tool,small,claude-haiku-4-5-20251001,1,completed,2,39135,12298,0,0.100625,122.0,8353,6156,92.6,0,0,96,0.0,0
bench_5_react_agent__small__r1__1788117054,matrix-claude-haiku-4-5-20251001,bench_5_react_agent,small,claude-haiku-4-5-20251001,1,completed,3,41793,9930,0,0.091443,106.59,6574,5033,75.7,0,0,70,0.0,0
bench_5a_react_agent_naive__small__r1__1788117160,matrix-claude-haiku-4-5-20251001,bench_5a_react_agent_naive,small,claude-haiku-4-5-20251001,1,completed,3,34092,1586,0,0.042022,18.26,2980,3004,45.2,3,0,21,0.0,0
bench_6_agent_autonomous__small__r1__1788117179,matrix-claude-haiku-4-5-20251001,bench_6_agent_autonomous,small,claude-haiku-4-5-20251001,1,completed,3,41984,15218,0,0.118074,165.8,5578,4615,69.4,0,0,55,0.0,0
bench_2_raw_html_llm__medium__r1__1788117344,matrix-claude-haiku-4-5-20251001,bench_2_raw_html_llm,medium,claude-haiku-4-5-20251001,1,completed,1,59261,1942,0,0.068971,30.86,8224,8449,67.3,28,0,36,0.0,0
bench_3_markdown_llm__medium__r1__1788117375,matrix-claude-haiku-4-5-20251001,bench_3_markdown_llm,medium,claude-haiku-4-5-20251001,1,completed,1,3501,2090,0,0.013951,28.76,8438,8658,69.0,29,0,37,0.0,0
bench_4_ai_agent_tool__medium__r1__1788117404,matrix-claude-haiku-4-5-20251001,bench_4_ai_agent_tool,medium,claude-haiku-4-5-20251001,1,completed,2,124149,4535,0,0.146824,59.24,9062,9295,74.1,29,0,37,0.0,0
bench_5_react_agent__medium__r1__1788117463,matrix-claude-haiku-4-5-20251001,bench_5_react_agent,medium,claude-haiku-4-5-20251001,1,completed,3,139877,4221,0,0.160982,61.1,8552,8552,68.1,0,29,37,0.0,0
bench_5a_react_agent_naive__medium__r1__1788117524,matrix-claude-haiku-4-5-20251001,bench_5a_react_agent_naive,medium,claude-haiku-4-5-20251001,1,completed,3,138941,3878,0,0.158331,55.66,8213,8421,67.1,26,2,36,0.0,0
bench_6_agent_autonomous__medium__r1__1788117580,matrix-claude-haiku-4-5-20251001,bench_6_agent_autonomous,medium,claude-haiku-4-5-20251001,1,completed,3,125622,4772,0,0.149482,63.96,8446,8663,69.0,27,3,38,0.0,0
bench_2_raw_html_llm__large__r1__1788117644,matrix-claude-haiku-4-5-20251001,bench_2_raw_html_llm,large,,1,failed,0,0,0,0,0,1.97,0,0,,0,0,0,,0
bench_3_markdown_llm__large__r1__1788117646,matrix-claude-haiku-4-5-20251001,bench_3_markdown_llm,large,claude-haiku-4-5-20251001,1,completed,1,34821,1036,0,0.040001,11.24,2440,2136,4.3,0,0,17,0.0,0
bench_4_ai_agent_tool__large__r1__1788117657,matrix-claude-haiku-4-5-20251001,bench_4_ai_agent_tool,large,,1,completed,0,0,0,0,0,1.96,20,20,0.0,0,0,0,0.0,0
bench_5_react_agent__large__r1__1788117659,matrix-claude-haiku-4-5-20251001,bench_5_react_agent,large,claude-haiku-4-5-20251001,1,failed,1,818,87,0,0.001253,5.77,0,0,,0,0,0,,0
bench_5a_react_agent_naive__large__r1__1788117665,matrix-claude-haiku-4-5-20251001,bench_5a_react_agent_naive,large,claude-haiku-4-5-20251001,1,failed,1,746,82,0,0.001156,5.44,0,0,,0,0,0,,0
bench_6_agent_autonomous__large__r1__1788117670,matrix-claude-haiku-4-5-20251001,bench_6_agent_autonomous,large,claude-haiku-4-5-20251001,1,completed,1,883,92,0,0.001343,3.14,20,20,0.0,0,0,0,0.0,0
bench_2_raw_html_llm__small__r1__1788117676,matrix-claude-sonnet-5,bench_2_raw_html_llm,small,claude-sonnet-5,1,completed,1,16622,16762,0,0.200864,138.73,27896,27115,407.9,0,0,156,29.8,0
bench_3_markdown_llm__small__r1__1788117814,matrix-claude-sonnet-5,bench_3_markdown_llm,small,claude-sonnet-5,1,completed,1,6391,6299,0,0.075772,46.77,8583,6246,94.0,0,0,101,0.0,0
bench_4_ai_agent_tool__small__r1__1788117861,matrix-claude-sonnet-5,bench_4_ai_agent_tool,small,claude-sonnet-5,1,completed,2,40549,6892,0,0.150018,50.15,4897,3979,59.9,0,0,46,0.0,0
bench_5_react_agent__small__r1__1788117911,matrix-claude-sonnet-5,bench_5_react_agent,small,claude-sonnet-5,1,completed,2,22580,1479,0,0.05995,15.37,3600,3366,50.6,0,0,26,0.0,0
bench_5a_react_agent_naive__small__r1__1788117927,matrix-claude-sonnet-5,bench_5a_react_agent_naive,small,claude-sonnet-5,1,completed,3,47391,3585,0,0.130632,35.03,3787,3414,51.4,0,0,31,0.0,0
bench_6_agent_autonomous__small__r1__1788117962,matrix-claude-sonnet-5,bench_6_agent_autonomous,small,claude-sonnet-5,1,completed,2,18331,5742,0,0.094082,47.61,7606,6224,93.6,0,0,87,0.0,0
bench_2_raw_html_llm__medium__r1__1788118009,matrix-claude-sonnet-5,bench_2_raw_html_llm,medium,claude-sonnet-5,1,completed,1,73380,78883,0,0.93559,576.8,82302,71188,567.2,40,3,51,6.3,0
bench_3_markdown_llm__medium__r1__1788118586,matrix-claude-sonnet-5,bench_3_markdown_llm,medium,claude-sonnet-5,1,completed,1,4924,4945,0,0.059298,41.15,12052,12300,98.0,33,0,41,1.5,0
bench_4_ai_agent_tool__medium__r1__1788118627,matrix-claude-sonnet-5,bench_4_ai_agent_tool,medium,claude-sonnet-5,1,completed,2,153802,6586,0,0.373464,54.96,8985,9534,76.0,70,0,0,0.0,0
bench_5_react_agent__medium__r1__1788118682,matrix-claude-sonnet-5,bench_5_react_agent,medium,claude-sonnet-5,1,completed,2,91658,6372,0,0.247036,59.21,11590,11824,94.2,29,1,38,0.0,0
bench_5a_react_agent_naive__medium__r1__1788118742,matrix-claude-sonnet-5,bench_5a_react_agent_naive,medium,claude-sonnet-5,1,completed,2,91470,3572,0,0.21866,34.53,9878,10127,80.7,29,0,37,0.0,0
bench_6_agent_autonomous__medium__r1__1788118776,matrix-claude-sonnet-5,bench_6_agent_autonomous,medium,claude-sonnet-5,1,completed,2,75251,9491,0,0.245412,74.26,11992,12243,97.6,30,0,38,0.0,0
bench_2_raw_html_llm__large__r1__1788118850,matrix-claude-sonnet-5,bench_2_raw_html_llm,large,claude-sonnet-5,1,completed,1,266158,12604,0,0.658356,114.54,23337,23380,46.7,4,0,169,0.0,0
bench_3_markdown_llm__large__r1__1788118965,matrix-claude-sonnet-5,bench_3_markdown_llm,large,claude-sonnet-5,1,completed,1,46970,47311,0,0.56705,339.77,64025,48376,96.6,4,0,411,0.4,0
bench_4_ai_agent_tool__large__r1__1788119305,matrix-claude-sonnet-5,bench_4_ai_agent_tool,large,claude-sonnet-5,1,completed,2,552606,22301,0,1.328222,182.88,21911,21928,43.8,1,0,159,0.0,0
bench_5_react_agent__large__r1__1788119487,matrix-claude-sonnet-5,bench_5_react_agent,large,claude-sonnet-5,1,completed,3,691024,16312,0,1.545168,157.42,21981,21990,43.9,0,1,161,0.0,0
bench_5a_react_agent_naive__large__r1__1788119645,matrix-claude-sonnet-5,bench_5a_react_agent_naive,large,claude-sonnet-5,1,completed,3,675883,10386,0,1.455626,110.54,21465,21508,42.9,4,0,163,0.0,0
bench_6_agent_autonomous__large__r1__1788119755,matrix-claude-sonnet-5,bench_6_agent_autonomous,large,claude-sonnet-5,1,completed,2,267893,41534,0,0.951126,331.66,40761,40820,81.5,4,0,336,0.0,0
bench_2_raw_html_llm__small__r1__1788120089,matrix-claude-opus-5,bench_2_raw_html_llm,small,claude-opus-5,1,completed,1,16622,16941,0,0.506635,170.26,27884,27102,407.7,0,0,156,29.8,0
bench_3_markdown_llm__small__r1__1788120260,matrix-claude-opus-5,bench_3_markdown_llm,small,claude-opus-5,1,completed,1,6391,6591,0,0.19673,63.41,8980,6473,97.4,0,0,101,0.0,0
bench_4_ai_agent_tool__small__r1__1788120323,matrix-claude-opus-5,bench_4_ai_agent_tool,small,claude-opus-5,1,completed,2,41389,9439,0,0.44292,84.21,7779,6246,94.0,0,0,85,0.0,0
bench_5_react_agent__small__r1__1788120407,matrix-claude-opus-5,bench_5_react_agent,small,claude-opus-5,1,completed,2,22455,4939,0,0.23575,49.47,7783,6330,95.2,0,0,84,0.0,0
bench_5a_react_agent_naive__small__r1__1788120457,matrix-claude-opus-5,bench_5a_react_agent_naive,small,claude-opus-5,1,completed,2,22256,1832,0,0.15708,22.63,3606,3371,50.7,0,0,26,0.0,0
bench_6_agent_autonomous__small__r1__1788120479,matrix-claude-opus-5,bench_6_agent_autonomous,small,claude-opus-5,1,completed,2,18207,4895,0,0.21341,43.95,7564,6299,94.8,0,0,83,0.0,0
bench_2_raw_html_llm__medium__r1__1788120523,matrix-claude-opus-5,bench_2_raw_html_llm,medium,claude-opus-5,1,completed,1,73380,2695,0,0.434275,30.67,8424,8641,68.9,27,2,37,0.0,0
bench_3_markdown_llm__medium__r1__1788120554,matrix-claude-opus-5,bench_3_markdown_llm,medium,claude-opus-5,1,completed,1,4924,4734,0,0.14297,47.22,11543,11806,94.1,31,0,39,0.0,0
bench_4_ai_agent_tool__medium__r1__1788120601,matrix-claude-opus-5,bench_4_ai_agent_tool,medium,claude-opus-5,1,completed,2,155234,8314,0,0.98402,84.57,11437,11678,93.1,30,0,38,0.0,0
bench_5_react_agent__medium__r1__1788120686,matrix-claude-opus-5,bench_5_react_agent,medium,claude-opus-5,1,completed,2,91494,5816,0,0.60287,64.41,11939,12178,97.0,30,0,38,0.0,0
bench_5a_react_agent_naive__medium__r1__1788120750,matrix-claude-opus-5,bench_5a_react_agent_naive,medium,claude-opus-5,1,completed,2,91390,3572,0,0.54625,41.33,9770,10027,79.9,30,0,38,0.0,0
bench_6_agent_autonomous__medium__r1__1788120791,matrix-claude-opus-5,bench_6_agent_autonomous,medium,claude-opus-5,1,completed,2,75099,4557,0,0.48942,46.91,11537,11778,93.8,30,0,38,0.0,0
bench_2_raw_html_llm__large__r1__1788120838,matrix-claude-opus-5,bench_2_raw_html_llm,large,claude-opus-5,1,completed,1,266158,8254,0,1.53714,85.19,23646,23655,47.2,0,1,165,0.0,0
bench_3_markdown_llm__large__r1__1788120924,matrix-claude-opus-5,bench_3_markdown_llm,large,claude-opus-5,1,completed,1,46970,47628,0,1.42555,421.7,64025,48376,96.6,4,0,411,0.4,0
bench_4_ai_agent_tool__large__r1__1788121345,matrix-claude-opus-5,bench_4_ai_agent_tool,large,claude-opus-5,1,completed,1,266590,10236,0,1.58885,97.18,21472,21462,42.9,0,1,148,0.0,0
bench_5_react_agent__large__r1__1788121442,matrix-claude-opus-5,bench_5_react_agent,large,claude-opus-5,1,completed,2,337512,29579,0,2.427035,272.88,42051,42132,84.1,4,0,339,0.0,0
bench_5a_react_agent_naive__large__r1__1788121715,matrix-claude-opus-5,bench_5a_react_agent_naive,large,claude-opus-5,1,completed,2,337323,7677,0,1.87854,88.12,22191,22226,44.4,3,1,161,0.0,0
bench_6_agent_autonomous__large__r1__1788121803,matrix-claude-opus-5,bench_6_agent_autonomous,large,claude-opus-5,1,completed,2,267768,29700,0,2.08134,263.42,42365,42688,85.2,4,0,338,0.0,0
bench_3_markdown_llm__medium__r1__1788122309,determinism-probe,bench_3_markdown_llm,medium,claude-sonnet-5,1,completed,1,4924,4440,0,0.054248,37.26,11781,11706,93.3,30,3,43,0.0,0
bench_3_markdown_llm__medium__r2__1788122346,determinism-probe,bench_3_markdown_llm,medium,claude-sonnet-5,2,completed,1,4924,5162,0,0.061468,41.81,12644,12568,100.1,33,0,41,1.4,0
bench_3_markdown_llm__large__r1__1788122467,collision-probe,bench_3_markdown_llm,large,claude-sonnet-5,1,completed,1,46970,47435,0,0.56829,341.74,64022,48366,96.6,3,1,411,0.4,0
bench_5_react_agent__small__r1__1788128672,verify-sonnet-5,bench_5_react_agent,small,claude-sonnet-5,1,completed,2,22581,1659,0,0.061752,19.68,3718,3363,50.6,0,0,30,0.0,0
bench_5_react_agent__medium__r1__1788128692,verify-sonnet-5,bench_5_react_agent,medium,claude-sonnet-5,1,completed,2,91602,7225,0,0.255454,63.53,11481,11736,93.5,29,0,37,0.0,0
bench_5_react_agent__large__r1__1788128755,verify-sonnet-5,bench_5_react_agent,large,claude-sonnet-5,1,completed,3,691167,31667,0,1.699004,269.06,36542,36592,73.1,4,0,328,0.0,0
bench_5_react_agent__small__r1__1788167797,prompt-fix-probe,bench_5_react_agent,small,claude-sonnet-5,1,completed,3,59978,19729,0,0.317246,157.29,6409,6176,92.9,0,0,80,0.0,0
bench_7_react_optimized__small__r1__1788169139,b7-smoke,bench_7_react_optimized,small,claude-sonnet-5,1,paused,1,700,86,0,0.00226,3.59,0,0,,0,0,0,,1
bench_7_react_optimized__small__r1__1788169186,b7-smoke2,bench_7_react_optimized,small,claude-sonnet-5,1,completed,2,9061,931,0,0.027432,15.08,2446,2455,36.9,0,0,21,0.0,1
bench_7_react_optimized__small__r1__1788169274,b7-reps,bench_7_react_optimized,small,claude-sonnet-5,1,completed,2,9061,930,0,0.027422,13.69,2022,2031,30.6,0,0,19,0.0,1
